Facility/Project Name,CWNS Number,Cat. I ON,Cat. II ON,All Cat. III ON,All Cat. IV ON,Cat. V ON,All Cat VI ON,Cat. X ON,Total ON,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
BRYSON CITY WWTP,37008701001,,"$3,042,349","$469,851","$6,263,812",,,,"$9,776,012",.3,.6,.7,"1,102",,,,"1,102","2,176",,,,"2,176",NC0026557,Discharge,"BRYSON CITY, TOWN OF",Swain,Tuckasegee,06010203,11th Congressional District,NC,4,MAP
BREVARD WWTP,37008801001,"$8,231,661",,"$955,062","$13,847,825",,,,"$23,034,548",1.16,2.5,2.5,"6,789",,,,"6,789","8,352",,,,"8,352",NC0060534,Discharge,"BREVARD, TOWN OF",Transylvania,Upper French Broad,06010105,11th Congressional District,NC,4,MAP
ROSMAN WWTP,37008802001,"$2,939,122",,"$446,220","$487,489",,,,"$3,872,831",.04,.09,.17,301,,,,301,"1,035",,,,"1,035",NC0021946,Discharge,"ROSMAN, TOWN OF",Transylvania,Upper French Broad,06010105,11th Congressional District,NC,4,MAP
COLUMBIA WWTP,37008901001,"$3,078,207",,"$3,389,967",,,,,"$6,468,174",.24,.3,.6,977,,,,977,"1,967",,,,"1,967",NC0020443,Discharge,"COLUMBIA, TOWN OF",Tyrrell,Albemarle,03010205,3rd Congressional District,NC,4,MAP
GUM NECK WWTP,37008903001,"$4,191,376",,,"$11,031,701",,,,"$15,223,077",,,.2,,,508,,,525,,61,,525,,,TYRRELL CO,Tyrrell,Albemarle,03010205,3rd Congressional District,NC,4,MAP
NW TYRRELL CO. S.D. WWTP,37008906001,"$5,158,616",,,"$10,923,370",,,,"$16,081,986",,,.3,,,,,,900,,,,900,,,TYRRELL COUNTY,Tyrrell,Albemarle,03010205,3rd Congressional District,NC,4,MAP
MONROE WWTP,37009001001,"$2,142,772","$14,371,777",,,,,,"$16,514,549",7.49,9,12.5,"20,927","5,727",,,"26,654","23,146","10,780",,,"33,926",NC0024333,Discharge,"MONROE, CITY OF",Union,Rocky,03040105,8th Congressional District,NC,4,MAP
OLDE SYCAMORE WWTP,37009002001,,,,,,,,,.012,.15,.15,213,,,,213,225,,,,225,,,UNION CO. BD.,Union,Lower Catawba,03050103,9th Congressional District,NC,4,MAP
CROOKED CREEK WWTP,37009002002,,,,,,,,,1,1.9,1.9,"8,750",,,,"8,750","15,251",,,,"15,251",NC0069841,Discharge,UNION CO. BD.,Union,Rocky,03040105,9th Congressional District,NC,4,MAP
HUNLEY CREEK WWTP,37009002003,,,,,,,,,.19,.231,.231,"1,824",,,,"1,824","2,050",,,,"2,050",,,UNION COUNTY,Union,Rocky,03040105,9th Congressional District,NC,4,MAP
TALLWOOD ESTATES WWTP,37009002005,,,,,,,,,.017,.05,.05,,,,,,,,,,,NC0069523,Discharge,UNION COUNTY,Union,Rocky,03040105,9th Congressional District,NC,4,MAP
TWELVE MILE CREEK WWTP,37009002010,,,,,,,,,1.2,2.5,2.5,"13,885","2,772","23,400",,"16,657","33,607","3,315","19,800",,"36,922",NC0085359,Discharge,UNION COUNTY,Union,Lower Catawba,03050103,9th Congressional District,NC,4,MAP
GRASSY BRANCH WWTP,37009002011,,,,,,,,,.007,.05,.05,,,,,,,,,,,NC0085812,Discharge,UNION COUNTY,Union,Rocky,03040105,9th Congressional District,NC,4,MAP
MARSHVILLE WWTP,37009005001,,"$3,592,064",,"$575,222",,,,"$4,167,286",,,1,"2,927",,,,"2,927","7,342",,,,"7,342",,,"MARSHVILLE, TOWN OF",Union,Rocky,03040105,8th Congressional District,NC,4,MAP
NUTBUSH CREEK WWTP,37009101001,,"$1,482,000",,,,,,"$1,482,000",4.14,6,6,"17,654",,,,"17,654","20,458",,,,"20,458",NC0020559,Discharge,"HENDERSON, CITY OF",Vance,Middle Roanoke,03010102,1st Congressional District,NC,4,MAP
NEUSE RIVER REGIONAL WWTP,37009201001,,"$129,700,214","$171,816,520","$583,505,944",,,"$34,305,503","$919,328,181",41.7,60,75,"378,000","26,783",,,"404,783","615,000","62,308",,,"677,308",NC0029033,Discharge,RALEIGH CITY OF,Wake,Upper Neuse,03020201,2nd Congressional District,NC,4,MAP
APEX WWTP,37009202001,"$1,225,171","$1,160,689",,,,,,"$2,385,860",2.15,3.6,3.6,"28,876",,,,"28,876","35,000",,,,"35,000",NC0064050,Discharge,"APEX, TOWN OF",Wake,Upper Neuse,03020201,4th Congressional District,NC,4,MAP
NORTH CARY WWTP,37009203002,,"$1,414,506","$6,788,410","$16,764,142",,,,"$24,967,058",6,12,12,"45,696","8,500",,,"54,196","65,176","1,010",,,"66,186",NC0048879,Discharge,TOWN OF CARY,Wake,Upper Neuse,03020201,4th Congressional District,NC,4,MAP
SOUTH CARY WWTP,37009203003,,"$2,906,676","$9,540,060","$15,192,543",,,,"$27,639,279",7.5,12.8,12.8,"53,738","19,804",,,"73,542","71,176","39,888",,,"111,064",NC0065102,Discharge,TOWN OF CARY,Wake,Upper Neuse,03020201,4th Congressional District,NC,4,MAP
WESTERN WAKE REGIONAL WMF,37009203004,,"$152,504,068",,"$51,138,935",,,,"$203,643,003",,,6,,,,,,"50,000","9,090",,,"59,090",,,TOWN OF CARY,Wake,Haw,03030002,4th Congressional District,NC,4,MAP
FUQUAY VARINA (TERRIBLE CRK) WWTP,37009204001,,,,,,,,,.387,1,1,"6,800",,,,"6,800","18,000",,,,"18,000",NC0066516,Discharge,"FUQUAY VARINA, TOWN OF",Wake,Upper Cape Fear,03030004,4th Congressional District,NC,4,MAP
WAKE FOREST WWTP,37009207001,,"$9,529,307",,,,,,"$9,529,307",1.3,2.4,6,"22,631",,,,"22,631","44,195",,,,"44,195",NC0030759,Discharge,"WAKE FOREST, TOWN OF",Wake,Upper Neuse,03020201,13th Congressional District,NC,4,MAP
ZEBULON (Little Creek) WWTP,37009209001,,"$24,116,235",,"$1,610,071",,,"$762,345","$26,488,651",.42,1.85,2.2,"4,781",842,,,"5,623","17,850","1,813",,,"19,663",NC0079316,Discharge,"ZEBULON, TOWN OF",Wake,Upper Neuse,03020201,13th Congressional District,NC,4,MAP
HOLLY SPRINGS WWTP,37009212001,,"$18,990,610","$6,097,385","$12,584,378",,,"$2,453,787","$40,126,160",1.1,1.5,6,"19,804",,,,"19,804","39,888",,,,"39,888",NC0063096,Discharge,"HOLLY SPRINGS, TOWN OF",Wake,Upper Cape Fear,03030004,4th Congressional District,NC,4,MAP
WARRENTON WWTP,37009303001,"$414,465",,,"$1,970,321",,,,"$2,384,786",.26,2,1.247,"1,071","1,183",,,"2,254","1,505","1,346",,,"2,851",NC0020834,Discharge,"WARRENTON, TOWN OF",Warren,Fishing,03020102,1st Congressional District,NC,4,MAP
CRESWELL WWTP,37009401001,,,,,,,,,.04,.064,.064,699,,,,699,929,,,,929,NC0048861,Discharge,"CRESWELL, TOWN OF",Washington,Albemarle,03010205,1st Congressional District,NC,4,MAP
PLYMOUTH WWTP,37009402001,,,"$1,984,664",,,,,"$1,984,664",.45,.8,.8,"3,958",,"2,623",,"3,958","4,008",,"1,667",,"4,008",NC0020028,Discharge,"PLYMOUTH, TOWN OF",Washington,Lower Roanoke,03010107,1st Congressional District,NC,4,MAP
ROPER WWTP,37009403001,"$309,509",,"$112,549",,,,,"$422,058",.05,.085,.085,862,,,,862,954,,,,954,NC0036315,Discharge,"ROPER, TOWN OF",Washington,Albemarle,03010205,1st Congressional District,NC,4,MAP
BLOWING ROCK WWTP,37009501001,,"$4,501,948","$1,328,075","$3,376,461",,,,"$9,206,484",.18,.8,.8,"1,428",,,,"1,428","1,595",,,,"1,595",NC0027286,Discharge,"BLOWING ROCK, TOWN OF",Watauga,Upper New,05050001,5th Congressional District,NC,4,MAP
BOONE WWTP,37009502001,,,"$510,334",,,,,"$510,334",2.484,4.82,4.82,"14,473",,,,"14,473","14,573",,,,"14,573",NC0020621,Discharge,"BOONE, TOWN OF",Watauga,Upper New,05050001,5th Congressional District,NC,4,MAP
BEECH MOUNTAIN/GRASSY GAP WWTP,37009507001,,,"$3,308,932",,,,,"$3,308,932",.03,.08,.08,367,,,,367,280,,,,280,NC0022730,Discharge,Town of Beech Mountain,Watauga,Nolichucky,06010108,5th Congressional District,NC,4,MAP
BEECH MOUNTAIN/POND CREEK WWTP,37009507002,"$281,372","$1,434,996","$4,422,038",,,,,"$6,138,406",.152,.4,.4,180,,,,180,300,,,,300,NC0069761,Discharge,Town of Beech Mountain,Watauga,Nolichucky,06010108,5th Congressional District,NC,4,MAP
SEVEN DEVILS WWTP,37009508001,,,,,,,,,.009,.01,.01,139,,,,139,140,,,,140,NC0058891,Discharge,Town of Seven Devils,Watauga,Watauga,06010103,5th Congressional District,NC,4,MAP
GOLDSBORO WWTP,37009601001,,,,,,,,,9.7,17.6,17.6,"36,150","2,545",,,"38,695","87,297","3,331",,,"90,628",NC0023949,Discharge,"GOLDSBORO, DEPT OF PUB WK",Wayne,Upper Neuse,03020201,3rd Congressional District,NC,4,MAP
EUREKA COLL. SYS.,37009604001,"$98,096",,,,,,,"$98,096",,,,238,,,,238,288,,,,288,,,"EUREKA, TOWN OF",Wayne,Contentnea,03020203,3rd Congressional District,NC,4,MAP
FREMONT COLL. SYS.,37009605001,"$702,208",,"$1,392,420",,,,,"$2,094,628",,,,"1,613",238,,,"1,851","2,143",288,,,"2,431",,,"FREMONT, TOWN OF",Wayne,Contentnea,03020203,3rd Congressional District,NC,4,MAP
MOUNT OLIVE WWTP,37009606001,"$1,916,866","$11,926,309","$1,512,576",,,,,"$15,355,751",.64,1,2,"4,494",,,,"4,494","5,890",516,,,"6,406",NC0020575,Discharge,"MOUNT OLIVE, TOWN OF",Wayne,Northeast Cape Fear,03030007,3rd Congressional District,NC,4,MAP
PIKEVILLE WWTP,37009607001,,,,,,,,,.233,.14,.14,714,,,,714,763,,,,763,,,"PIKEVILLE, TOWN OF",Wayne,Contentnea,03020203,3rd Congressional District,NC,4,MAP
SOUTHERN WAYNE SANT. DIST.,37009611001,,,,,,,,,,,1,294,,,,294,"3,145",,,,"3,145",,,SOUTHERN WAYNE S.D.,Wayne,Middle Neuse,03020202,1st Congressional District,NC,4,MAP
SOUTHWESTERN WAYNE SANT. DIST.,37009611002,,,,,,,,,,,.5,,,,,,"1,586",,,,"1,586",,,WAYNE COUNTY,Wayne,Upper Neuse,03020201,1st Congressional District,NC,4,MAP
SOUTHEASTERN WAYNE SANT. DIST.,37009611003,,,,,,,,,,,1.5,,,,,,"5,164",137,,,"5,301",,,WAYNE COUNTY,Wayne,Middle Neuse,03020202,3rd Congressional District,NC,4,MAP
NORTHWESTERN WAYNE SANT. DIST.,37009611004,,,,,,,,,,,.5,,,,,,"1,791",,,,"1,791",,,WAYNE COUNTY,Wayne,Upper Neuse,03020201,3rd Congressional District,NC,4,MAP
FORK TOWNSHIP SANT. DIST.,37009611005,,,,,,,,,,,1,,,,,,"3,489",,,,"3,489",,,WAYNE COUNTY,Wayne,Upper Neuse,03020201,3rd Congressional District,NC,4,MAP
EASTERN WAYNE SANT. DIST.,37009611006,,,,,,,,,,,2,,,,,,"7,167",,,,"7,167",,,WAYNE COUNTY,Wayne,Middle Neuse,03020202,3rd Congressional District,NC,4,MAP
BELFAST-PATETOWN SANT. DIST.,37009611007,,,,,,,,,,,1.42,,,,,,"5,583",,,,"5,583",,,WAYNE COUNTY,Wayne,Middle Neuse,03020202,3rd Congressional District,NC,4,MAP
N. WILKESBORO THURMAN STREET WWTP,37009701001,,,,"$6,798,418",,,,"$6,798,418",.9,2,2,"3,455",,,,"3,455","3,900",,,,"3,900",NC0020761,Discharge,"NORTH WILKESBORO, TN OF",Wilkes,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
WILKESBORO CUB CRK WWTP,37009703001,"$2,890,013",,,"$1,556,226",,,,"$4,446,239",2.787,4.9,4.9,"3,367",,,,"3,367","4,076",,,,"4,076",NC0021717,Discharge,WILKESBORO,Wilkes,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
HOMINY CREEK WWTP,37009801002,"$2,455,608","$45,701,317",,,,,"$2,760,286","$50,917,211",8.93,14,18,"48,500","1,324",,,"49,824","57,134","2,250",,,"59,384",NC0023906,Discharge,"WILSON, CITY OF",Wilson,Contentnea,03020203,3rd Congressional District,NC,4,MAP
ELM CITY WWTP,37009802001,,,,,,,,,.2,.24,.24,"1,281",,,,"1,281","2,596",,,,"2,596",,,"ELM CITY, TOWN OF",Wilson,Lower Tar,03020103,1st Congressional District,NC,4,MAP
STANTONSBURG WWTP,37009807001,,,,,,,,,.07,.375,.375,"1,010",391,,,"1,401","1,045",441,,,"1,486",NC0057606,Discharge,"STANTONSBURG, TOWN OF",Wilson,Contentnea,03020203,1st Congressional District,NC,4,MAP
YADKINVILLE WWTP,37009901001,,,"$2,025,876",,,,,"$2,025,876",.5,2.5,2.3,"2,800",,,,"2,800","6,143",,,,"6,143",NC0020338,Discharge,"YADKINVILLE, TOWN OF",Yadkin,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
JONESVILLE WWTP,37009902001,,,,,,,,,.18,.4,.4,"2,257",,,,"2,257","3,900",,,,"3,900",NC0021580,Discharge,"JONESVILLE, TOWN OF",Yadkin,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
BOONVILLE WWTP,37009903001,,,,"$61,500",,,,"$61,500",.105,.2,.2,"1,166",,,,"1,166","1,355",,,,"1,355",NC0020931,Discharge,"BOONVILLE, TOWN OF",Yadkin,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
EAST BEND WWTP,37009907001,,,,,,,,,.04,.1,.1,690,,,,690,800,,,,800,NC0064726,Discharge,"EAST BEND, TOWN OF",Yadkin,Upper Yadkin,03040101,5th Congressional District,NC,4,MAP
PELZER WASTE TRT PLANT,45000011001,,,,,,,,,.17,.2,,"2,000",,,,"2,000","2,052",,,,"2,052",SC0040797,Discharge,"PELZER, TOWN OF",Anderson,Saluda,03050109,3rd Congressional District,SC,4,MAP
"RIDGEWAY, TOWN OF",45000057001,,,,,,,,,.06,.12,.12,600,,,,600,646,,,,646,SC0022900,Discharge,"RIDGEWAY, TOWN OF",Fairfield,Lower Broad,03050106,5th Congressional District,SC,4,MAP
CLIO WWTP,45000074001,,,,,,,,,.179,.3,.3,"1,625",,158,,"1,625","2,000",,80,,"2,000",SC0040606,Discharge,"CLIO, TOWN OF",Marlboro,Lower Pee Dee,03040201,5th Congressional District,SC,4,MAP
ELLOREE WWTP,45000076001,,,,,,,,,.79,.79,.79,"5,267",,,,"5,267","5,267",,,,"5,267",,,"ELLOREE, TOWN OF",Orangeburg,Lake Marion,03050111,6th Congressional District,SC,4,MAP
BJWSA/Hardeeville,45000080001,"$4,923,850",,"$2,278,712","$1,774,876",,,,"$8,977,438",.6,1.01,2.02,"2,000",,"1,000",,"2,000","8,000",,"5,000",,"8,000",SC0034584,Discharge,BJWSA,Jasper,Saluda,03050109,2nd Congressional District,SC,4,MAP
HARLEYVILLE STP,45000081002,,"$1,041,951",,,,,,"$1,041,951",.12,.12,.12,500,,210,,500,900,,210,,900,SC0038504,Discharge,"HARLEYVILLE, TOWN OF",Dorchester,Edisto,03050205,6th Congressional District,SC,4,MAP
HEATH SPRINGS STP,45000082001,,,,,,,,,.046,.08,.08,350,,,,350,534,,,,534,SC0040118,Discharge,"HEATH SPRINGS, TOWN OF",Lancaster,Lynches,03040202,5th Congressional District,SC,4,MAP
JEFFERSON STP,45000083001,,,,,,,,,.107,.15,.15,"1,025",,18,,"1,025","1,125",,8,,"1,125",SC0024767,Discharge,"JEFFERSON, TOWN OF",Chesterfield,Lynches,03040202,5th Congressional District,SC,4,MAP
LAKE VIEW WWTP,45000084002,,,,,,,,,.119,.2,.2,"1,187",,119,,"1,187","1,333",,239,,"1,333",SC0022284,Discharge,LAKE VIEW,Dillon,Lumber,03040203,5th Congressional District,SC,4,MAP
NEWBERRY CO. W & SA PLANT # 1,45000093002,,,,,,,,,.61,.65,.65,"7,200",,"8,400",,"7,200","8,200",,"2,800",,"8,200",SC0024490,Discharge,NEWBERRY CO. W&SA,Newberry,Saluda,03050109,5th Congressional District,SC,4,MAP
SPRINGFIELD PLANT #1,45000101001,,,,,,,,,.06,.12,.12,679,,,,679,779,,,,779,SC0023272,Discharge,"SPRINGFIELD, TOWN OF",Orangeburg,South Fork Edisto,03050204,2nd Congressional District,SC,4,MAP
SPRINGFIELD PLANT #2,45000101002,,,,,,,,,.06,.06,.06,453,,,,453,520,,,,520,SC0023281,Discharge,"SPRINGFIELD, TOWN OF",Orangeburg,South Fork Edisto,03050204,2nd Congressional District,SC,4,MAP
YEMASSEE WWTP,45000103001,,,,,,,,,.08,.24,.24,755,,573,,755,"1,999",,449,,"1,999",SC0025950,Discharge,"YEMASSEE, TOWN OF",Hampton,Salkehatchie,03050207,2nd Congressional District,SC,4,MAP
BOWMAN WWS,45000106001,,,,,,,,,.236,.236,.236,"1,295",,67,,"1,295","1,617",,13,,"1,617",SC0040037,Discharge,"BOWMAN, TOWN OF",Orangeburg,Four Hole Swamp,03050206,6th Congressional District,SC,4,MAP
BRANCHVILLE WWTP,45000107001,,,,,,,,,.07,.15,.15,"1,079",,57,,"1,079","1,350",,10,,"1,350",SC0047333,Discharge,"BRANCHVILLE, TOWN OF",Orangeburg,Edisto,03050205,6th Congressional District,SC,4,MAP
BUCK CREEK STP,45000109001,,,,,,,,,.221,.5,.5,"1,800",,471,,"1,800","2,650",,50,,"2,650",SC0025763,Discharge,"CHESNEE, TOWN OF",Spartanburg,Upper Broad,03050105,5th Congressional District,SC,4,MAP
DUE WEST TREATMENT PLANT,45000111001,,,,,,,,,.11,.3,.3,"1,350",,176,,"1,350","2,000",,63,,"2,000",SC0022403,Discharge,"DUE WEST, TOWN OF",Abbeville,Upper Savannah,03060103,3rd Congressional District,SC,4,MAP
HEMINGWAY WWTP,45000113001,,,,,,,,,.23,.35,.35,"2,400",,"1,302",,"2,400","3,500",,135,,"3,500",SC0039934,Discharge,"HEMINGWAY, TOWN OF",Williamsburg,Lower Pee Dee,03040201,6th Congressional District,SC,4,MAP
HOLLY HILL WWTP,45000114001,,,,,,,,,.19,.29,.29,"1,550",,111,,"1,550","1,731",,124,,"1,731",,,"HOLLY HILL, TOWN OF",Orangeburg,Four Hole Swamp,03050206,6th Congressional District,SC,4,MAP
IVA EASTSIDE FACILITY,45000116001,,,,,,,,,.06,.25,.25,"1,390",,283,,"1,390","1,506",,167,,"1,506",,,"IVA, TOWN OF",Anderson,Saluda,03050109,3rd Congressional District,SC,4,MAP
IVA WESTSIDE FACILITY,45000116002,,,,,,,,,.11,.39,,949,,213,,949,"1,300",,99,,"1,300",,,"IVA, TOWN OF",Anderson,Saluda,03050109,3rd Congressional District,SC,4,MAP
JOHNSONVILLE EAST STP,45000117001,,"$3,889,585",,,,,,"$3,889,585",2,3,3,"26,041",,,,"26,041","29,150",,,,"29,150",SC0025933,Discharge,"JOHNSONVILLE, TOWN OF",Florence,Lynches,03040202,6th Congressional District,SC,4,MAP
JONESVILLE TRMT PLANT,45000118001,,,,,,,,,.19,.25,.25,"2,300",,529,,"2,300","2,400",,177,,"2,400",SC0024988,Discharge,"JONESVILLE, TOWN OF",Union,Upper Broad,03050105,4th Congressional District,SC,4,MAP
TOWN OF LAMAR WWTP,45000119001,,,,,,,,,.65,.65,.65,"3,703",,"3,934",,"3,703","4,500",,"4,776",,"4,500",SC0043702,Discharge,"LAMAR, TOWN OF",Darlington,Upper Pee Dee,03040104,5th Congressional District,SC,4,MAP
LYMAN WASTE TREATMENT PLA,45000120001,,,,,,,,,5.207,6,6,"19,387","1,539",,,"20,926","33,333","1,755",,,"35,088",SC0021300,Discharge,"LYMAN, TOWN OF",Spartanburg,Tyger,03050107,4th Congressional District,SC,4,MAP
ANDREWS WASTE TRMT PLT,45000124001,,,,,,,,,1.05,2,,"3,068",,"1,084",,"3,068","4,732",,995,,"4,732",,,"ANDREWS, CITY OF",Georgetown,Black,03040205,6th Congressional District,SC,4,MAP
RIDGELAND WWTP,45000126001,,,,,,,,,.8,.8,.8,"7,600",,179,,"7,600","8,600",,94,,"8,600",,,"RIDGELAND, CITY OF",Jasper,Broad-St. Helena,03050208,2nd Congressional District,SC,4,MAP
SUMMERTON WWTP/LAND APP.,45000128001,,,,,,,,,.7,.7,.7,"6,200",,,,"6,200","6,500",,,,"6,500",,,"SUMMERTON, TOWN OF",Clarendon,Lake Marion,03050111,6th Congressional District,SC,4,MAP
Blacksburg/Canoe Creek,45000136001,,,,,,,,,.15,.34,.34,"2,500",,827,,"2,500","3,400",,386,,"3,400",SC0047457,Discharge,"BLACKSBURG, TOWN OF",Cherokee,Upper Broad,03050105,5th Congressional District,SC,4,MAP
THOMPSON CREED WWTP,45000137003,"$2,371,598",,,,,,,"$2,371,598",.32,.45,.45,"3,050",,782,,"3,050","3,618",,"1,011",,"3,618",SC0025232,Discharge,"CHESTERFIELD, TOWN OF",Chesterfield,Lower Pee Dee,03040201,5th Congressional District,SC,4,MAP
ESTILL STP,45000138001,,,,,,,,,.44,.9,.9,"6,000",,,,"6,000","7,000",,,,"7,000",,,"ESTILL, TOWN OF",Hampton,Salkehatchie,03050207,2nd Congressional District,SC,4,MAP
ALLENDALE-FAIRFAX STP,45000140001,,,,,,,,,2.972,4,4,"19,813",,108,,"19,813","26,667",,51,,"26,667",SC0039918,Discharge,"FRFX & ALLNDLE, TOWNS OF",Allendale,Broad-St. Helena,03050208,2nd Congressional District,SC,4,MAP
INMAN WWTP,45000142001,,,,,,,,,.185,.215,.215,"1,848",,"3,130",,"1,848","2,100",,"2,142",,"2,100",SC0021601,Discharge,"INMAN, TOWN OF",Spartanburg,Upper Broad,03050105,4th Congressional District,SC,4,MAP
KERSHAW STP,45000145001,,,,,,,,,.4,.8,.8,"5,822",,,,"5,822","7,100",,,,"7,100",SC0025798,Discharge,"KERSHAW, TOWN OF",Kershaw,Lynches,03040202,5th Congressional District,SC,4,MAP
PAGE CREEK STP,45000147002,,,,,,,,,.45,1,1,"6,700",,48,,"6,700","8,667",,10,,"8,667",SC0026875,Discharge,"LANDRUM, TOWN OF",Spartanburg,Upper Broad,03050105,4th Congressional District,SC,4,MAP
LATTA WWTF,45000148001,,,,,,,,,.4,1,1,"7,000",,586,,"7,000","7,500",,341,,"7,500",SC0025402,Discharge,"LATTA, TOWN OF",Dillon,Little Pee Dee,03040204,5th Congressional District,SC,4,MAP
LORIS WWTP,45000149001,,"$1,232,668",,,,,,"$1,232,668",.53,.7,.7,"4,700",,57,,"4,700","5,794",,116,,"5,794",SC0025348,Discharge,"LORIS, TOWN OF",Horry,Little Pee Dee,03040204,1st Congressional District,SC,4,MAP
MCCORMICK WWT PLNT,45000150001,,"$7,257,909",,,,,,"$7,257,909",.693,.85,3.35,"4,620",,,,"4,620","22,333",,,,"22,333",SC0030783,Discharge,MCCORMICK TN OF PW COMM,McCormick,Tyger,03050107,3rd Congressional District,SC,4,MAP
CRESENT BEACH WWTP,45000152001,,"$2,640,770",,,,,,"$2,640,770",1.888,2.1,2.6,"2,332",,574,,"2,332","3,450",,337,,"3,450",SC0022161,Discharge,"N. MYRTLE BEACH, TOWN OF",Horry,Carolina Coastal-Sampit,03040207,1st Congressional District,SC,4,MAP
OCEAN DRIVE WWTP,45000152002,,"$2,640,770",,,,,,"$2,640,770",3.315,3.4,9.3,"12,000",,24,,"12,000","16,746",,12,,"16,746",SC0022152,Discharge,"N. MYRTLE BEACH, TOWN OF",Horry,Carolina Coastal-Sampit,03040207,1st Congressional District,SC,4,MAP
PACOLET MILLS  WWTP,45000153001,,,,,,,,,.3,.3,.3,"2,100",,,,"2,100","2,300",,,,"2,300",SC0044717,Discharge,SPARTANBURG SSD,Spartanburg,Upper Broad,03050105,4th Congressional District,SC,4,MAP
ST GEORGE WWTP,45000155002,,,,,,,,,.54,.8,.8,"2,376",,"1,621",,"2,376","5,334",,762,,"5,334",SC0025844,Discharge,"ST GEORGE, TOWN OF",Dorchester,Edisto,03050205,6th Congressional District,SC,4,MAP
"BLACKVILLE, TOWN OF",45000160001,,,,,,,,,.262,.8,.8,"4,800",,"1,200",,"4,800","6,400",,51,,"6,400",SC0026417,Discharge,"BLACKVILLE,  TOWN OF",Barnwell,South Fork Edisto,03050204,2nd Congressional District,SC,4,MAP
CALHOUN FALLS WWTP,45000161001,,,,,,,,,.42,1,1,"5,000",,874,,"5,000","8,000",,338,,"8,000",SC0025721,Discharge,COMMISSION OF PUBIC WORKS,Abbeville,Upper Savannah,03060103,3rd Congressional District,SC,4,MAP
Cowpens/Pacolet River Plant,45000162001,,,,,,,,,.443,1.5,1.5,"2,953",,38,,"2,953","10,000",,25,,"10,000",SC0045624,Discharge,"COWPENS, TOWN OF",Spartanburg,Upper Broad,03050105,4th Congressional District,SC,4,MAP
NINETY SIX STP,45000163001,,,,,,,,,.32,.5,.5,"3,800",,316,,"3,800","4,313",,167,,"4,313",SC0036048,Discharge,"NINETY SIX, COMMISSION OF",Greenwood,Saluda,03050109,3rd Congressional District,SC,4,MAP
PAGELAND SE WWTF,45000164001,,,,,,,,,.453,.6,.6,"1,836",,429,,"1,836","4,000",,251,,"4,000",SC0021539,Discharge,"PAGELAND, TOWN OF",Chesterfield,Lower Pee Dee,03040201,5th Congressional District,SC,4,MAP
PAGELAND NW WWTF,45000164002,,,,,,,,,.15,.3,.3,"2,100",,"1,212",,"2,100","2,494",,754,,"2,494",SC0021504,Discharge,"PAGELAND, TOWN OF",Chesterfield,Lynches,03040202,5th Congressional District,SC,4,MAP
ST. MATTHEWS SOUTH PLANT,45000166001,,,,,,,,,.37,.55,.55,"2,300",,,,"2,300","2,700",,,,"2,700",SC0028801,Discharge,COMMISSION OF PUBLIC WORK,Calhoun,Lake Marion,03050111,6th Congressional District,SC,4,MAP
SALUDA TREATMENT PLANT,45000167001,,"$2,165,042",,,,,,"$2,165,042",.398,.53,.53,"2,672",,"2,585",,"2,672","4,095",,"1,565",,"4,095",SC0022381,Discharge,SALUDA PWC,Saluda,Saluda,03050109,3rd Congressional District,SC,4,MAP
TIMMONSVILLE WWTP,45000168001,,,,,,,,,1.235,2,2,"10,000",,300,,"10,000","13,340",,26,,"13,340",SC0025356,Discharge,"TIMMONSVILLE, TOWN OF",Florence,Lynches,03040202,6th Congressional District,SC,4,MAP
Ware Shoals/Dairy Street,45000170001,,,,,,,,,1.9,8,8,"21,000",,209,,"21,000","25,000",,134,,"25,000",SC0020214,Discharge,"WARE SHOALS, TOWN OF",Greenwood,Saluda,03050109,3rd Congressional District,SC,4,MAP
Town of Whitmire/Ducan Creek Plant,45000171001,,,,,,,,,.18,.6,.6,"3,457",,,,"3,457","4,032",,,,"4,032",SC0022390,Discharge,"WHITMIRE, TOWN OF COM PB",Newberry,Saluda,03050109,5th Congressional District,SC,4,MAP
BARNWELL WWTP,45000177002,,,,,,,,,.76,1.5,1.5,"5,425",,167,,"5,425","6,425",,167,,"6,425",SC0047872,Discharge,"BARNWELL, CITY OF",Barnwell,Salkehatchie,03050207,2nd Congressional District,SC,4,MAP
