Facility/Project Name,CWNS Number,Cat. I ON,Cat. I UCE,Cat. II ON,Cat. II UCE,All Cat. III ON,All Cat. III UCE,All Cat. IV ON,All Cat. IV UCE,All Cat V ON,All Cat. V UCE,All Cat VI ON,All Cat. VI UCE,Cat. X ON,Cat. X UCE,Cat. XII ODN,Cat. XII UCE,Total ON,Total UCE,Total ODN,Existing Total Flow (Mgal/d),Present Design Total Flow (Mgal/d),Projected Design Total Flow (Mgal/d),Present Residential Receiving Collection Population,Present Residential Upstream Collection Population,Present Residential Onsite Wastewater Treatment Systems Population,Present Residential Clustered Systems Population,Present Residential Total Receiving Treatment Population,Present Residential Downstream Collection Population,Present Residential Actual Receiving Population,Projected Residential Receiving Collection Population,Projected Residential Upstream Collection Population,Projected Residential Onsite Wastewater Treatment Systems Population,Projected Residential Clustered Systems Population,Projected Residential Total Receiving Treatment Population,Projected Residential Downstream Collection Population,Projected Residential Actual Receiving Population,Permit Number,Permit Type,Authority Name,County Name,Watershed Name,Watershed HUC,Congressional District,State,Region,Map
CLEVELAND WWT,40000705002,,,,,,,,,,,,,,,,,,,,.4,.363,.363,"3,282",,,,"3,282",0,3282,"3,990",,,,"3,990",0,3990,OK0028347,Individual Permit,"CLEVELAND, CITY OF",Pawnee,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
JENNINGS WWT,40000707001,,,,,,,,,,,,,,,,,,,,.053,.055,.055,373,,,,373,0,373,470,,,,470,0,470,,,"JENNINGS, TOWN OF",Pawnee,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
PAWNEE WWT,40000709001,,,"$5,575,979",,"$2,846,368",,,,,,,,,,,,"$8,422,347",,,.3,.3,.5,"2,230",,,,"2,230",0,2230,"2,830",,,,"2,830",0,2830,OK0026654,Individual Permit,"PAWNEE, CITY OF",Pawnee,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
RALSTON WWT,40000710001,"$97,888",,,,,,,,,,,,,,,,"$97,888",,,.04,.04,.04,355,,,,355,0,355,430,,,,430,0,430,OK0020761,Individual Permit,"RALSTON, CITY OF",Pawnee,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
CUSHING WWT,40000714002,,,,,"$12,824,590",,,,,,,,,,,,"$12,824,590",,,1.05,1.12,1.12,"8,371",,,,"8,371",0,8371,"10,590",,,,"10,590",0,10590,OK0026701,Individual Permit,"CUSHING, CITY OF",Payne,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
GLENCOE NW WWT,40000715001,"$1,206,814",,"$469,317",,"$228,671",,,,,,,,,,,,"$1,904,802",,,.04,.064,.073,583,,,,583,0,583,770,,,,770,0,770,OK0028517,Individual Permit,"GLENCOE, CITY OF",Payne,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
GLENCOE SW WWT,40000715002,"$32,991",,,,,,,,,,,,,,,,"$32,991",,,.02,.02,.022,192,,,,192,0,192,300,,,,300,0,300,,,"GLENCOE, CITY OF",Payne,Black Bear-Red Rock,11060006,3rd Congressional District,OK,6,MAP
PERKINS WWT,40000716001,,,,,,,,,,,,,,,,,,,,.24,.46,.46,"2,272",,,,"2,272",0,2272,"2,880",,,,"2,880",0,2880,OK0028801,Individual Permit,"PERKINS, CITY OF",Payne,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
YALE WWT,40000717001,,,"$1,830,079",,,,,,,,,,,,,,"$1,830,079",,,.18,.2,.2,"1,342",,,,"1,342",0,1342,"1,640",,,,"1,640",0,1640,OK0028509,Individual Permit,YALE SOUTH CORPORATION,Payne,Lower Cimarron,11050003,3rd Congressional District,OK,6,MAP
CANADIAN PWA WWT,40000723001,"$521,956",,,,"$1,452,815",,,,,,,,,,,,"$1,974,771",,,.024,.03,.03,239,,,,239,0,239,260,,,,260,0,260,OK0035297,Individual Permit,CANADIAN PWA,Pittsburg,Lower Canadian,11090204,2nd Congressional District,OK,6,MAP
CROWDER PWA WWT,40000724001,,,,,,,,,,,,,,,,,,,,.04,.06,.06,436,,,,436,0,436,470,,,,470,0,470,OK0035301,Individual Permit,CROWDER PWA,Pittsburg,Lower Canadian,11090204,2nd Congressional District,OK,6,MAP
HAILEYVILLE WWT,40000725001,,,"$152,773",,"$1,123,905",,,,,,,,,,,,"$1,276,678",,,.089,.13,.13,920,,,,920,0,920,"1,000",,,,"1,000",0,1000,OK0028843,Individual Permit,"HAILEYVILLE, CITY OF",Pittsburg,Lower Canadian,11090204,2nd Congressional District,OK,6,MAP
KREBS UA WWT,40000726001,,,,,,,,,,,,,,,,,,,,.3,.51,.51,"2,051",,,,"2,051",0,2051,"2,210",,,,"2,210",0,2210,OK0030686,Individual Permit,KREBS UTILITY AUTHORITY,Pittsburg,Lower Canadian,11090204,2nd Congressional District,OK,6,MAP
PITTSBURG PWA WWT,40000727001,,,,,,,,,,,,,,,,,,,,.03,.035,.035,280,,,,280,0,280,300,,,,300,0,300,OK0027782,Individual Permit,PITTSBURG PWA,Pittsburg,Lower Canadian,11090204,2nd Congressional District,OK,6,MAP
QUINTON WWT,40000728001,,,,,,,,,,,,,,,,,,,,.11,.11,.11,"1,071",,,,"1,071",0,1071,"1,150",,,,"1,150",0,1150,OK0030694,Individual Permit,"QUINTON, TOWN OF",Pittsburg,Robert S. Kerr Reservoir,11110104,2nd Congressional District,OK,6,MAP
FRANCIS WWT,40000733001,,,,,,,,,,,,,,,,,,,,.04,.045,.045,332,,,,332,0,332,360,,,,360,0,360,OK0036064,Individual Permit,FRANCIS PWA,Pontotoc,Lower Canadian-Walnut,11090202,4th Congressional District,OK,6,MAP
ROFF WWT,40000736001,"$2,622,222",,,,,,,,,,,,,,,,"$2,622,222",,,.08,.06,.08,734,,,,734,0,734,790,,,,790,0,790,,,"ROFF, TOWN OF",Pontotoc,Blue,11140102,4th Congressional District,OK,6,MAP
STONEWALL WWT,40000737001,"$590,089",,,,,,,,,,,,,,,,"$590,089",,,.06,.07,.078,465,,,,465,0,465,500,,,,500,0,500,OK0027286,Individual Permit,"STONEWALL, TOWN OF",Pontotoc,Clear Boggy,11140104,4th Congressional District,OK,6,MAP
ASHER UDA WWT,40000738001,,,,,,,,,,,,,,,,,,,,.04,.06,.06,419,,,,419,0,419,480,,,,480,0,480,OK0027154,Individual Permit,ASHER UTILITY DEVELOPMENT AUTHORITY,Pottawatomie,Lower Canadian-Walnut,11090202,5th Congressional District,OK,6,MAP
EARLSBORO PWA WWT,40000742001,"$1,558,676",,,,,,,,,,,,,,,,"$1,558,676",,,.025,.025,.056,250,,,,250,0,250,284,,,,284,0,284,OK0030244,Individual Permit,EARLSBORO PUBLIC WORKS AUTHORITY,Pottawatomie,Lower North Canadian,11100302,5th Congressional District,OK,6,MAP
MCLOUD PWA WWT,40000743001,,,,,,,,,,,,,,,,,,,,.075,.31,.31,"3,000",,,,"3,000",0,3000,"4,050",,,,"4,050",0,4050,OK0029009,Individual Permit,MCLOUD PUBLIC WORKS AUTHORITY,Pottawatomie,Lower North Canadian,11100302,5th Congressional District,OK,6,MAP
MAUD WWT,40000744001,,,,,"$1,407,915",,,,,,,,,,,,"$1,407,915",,,.11,.2,.2,"1,136",,,,"1,136",0,1136,"1,260",,,,"1,260",0,1260,OK0029181,Individual Permit,MAUD MUNICIPAL AUTHORITY,Pottawatomie,Little,11090203,5th Congressional District,OK,6,MAP
TECUMSEH UA WWT,40000748001,,,,,,,,,,,,,,,,,,,,.6,.6,.6,"6,098",,,,"6,098",0,6098,"6,960",,,,"6,960",0,6960,OK0020788,Individual Permit,TECUMSEH UTILITY AUTHORITY,Pottawatomie,Lower North Canadian,11100302,5th Congressional District,OK,6,MAP
WANETTE WWT,40000749001,"$685,308",,,,,,,,,,,,,,,,"$685,308",,,.04,.04,.05,402,,,,402,0,402,470,,,,470,0,470,,,"WANETTE, TOWN OF",Pottawatomie,Lower Canadian-Walnut,11090202,5th Congressional District,OK,6,MAP
ANTLERS WWT,40000751001,,,"$115,556",,"$3,272,793",,,,,,,,,,,,"$3,388,349",,,.5,.8,.8,"2,552",,,,"2,552",0,2552,"3,220",,,,"3,220",0,3220,OK0020346,Individual Permit,ANTLERS PWA,Pushmataha,Kiamichi,11140105,2nd Congressional District,OK,6,MAP
GRAYSON WWT,40000751011,,,,,"$181,793",,,,,,,,,,,,"$181,793",,,.017,.017,.017,159,,,,159,0,159,161,,,,161,0,161,,,"GRAYSON, TOWN OF",Okmulgee,Deep Fork,11100303,2nd Congressional District,OK,6,MAP
CLAYTON PWA WWT,40000752001,,,,,"$900,380",,,,,,,,,,,,"$900,380",,,.08,.11,.11,750,,,,750,0,750,910,,,,910,0,910,OK0029157,Individual Permit,CLAYTON PWA,Pushmataha,Kiamichi,11140105,2nd Congressional District,OK,6,MAP
RATTAN WWT,40000753001,,,,,,,,,,,,,,,,,,,,.03,.03,.03,320,,,,320,0,320,320,,,,320,0,320,,,"RATTAN, TOWN OF",Pushmataha,Kiamichi,11140105,2nd Congressional District,OK,6,MAP
CHEYENNE WWT,40000758001,,,,,,,,,,,,,,,,,,,,.08,.08,.08,778,,,,778,0,778,770,,,,770,0,770,,,"CHEYENNE, TOWN OF",Roger Mills,Washita Headwaters,11130301,3rd Congressional District,OK,6,MAP
REYDON WWT,40000760001,,,,,,,,,,,,,,,,,,,,.015,.02,.02,177,,,,177,0,177,180,,,,180,0,180,,,"REYDON, TOWN OF",Roger Mills,Washita Headwaters,11130301,3rd Congressional District,OK,6,MAP
CHELSEA WWT,40000764001,,,"$3,180,841",,,,,,,,,,,,,,"$3,180,841",,,.11,.22,.5,"2,136",,,,"2,136",0,2136,"2,720",,,,"2,720",0,2720,OK0022781,Individual Permit,"CHELSEA, TOWN OF",Rogers,Lower Neosho,11070209,2nd Congressional District,OK,6,MAP
FOYIL WWT,40000765001,"$141,217",,,,,,,,,,,,,,,,"$141,217",,,.02,.02,.029,300,,,,300,0,300,310,,,,310,0,310,,,"FOYIL, TOWN OF",Rogers,Middle Verdigris,11070103,2nd Congressional District,OK,6,MAP
INOLA WWT,40000766001,,,"$1,554,865",,,,,,,,,,,,,,"$1,554,865",,,.14,.23,.23,"1,589",,,,"1,589",0,1589,"2,020",,,,"2,020",0,2020,OK0033618,Individual Permit,INOLA PUBLIC WORKS AUTHORITY,Rogers,Lower Verdigris,11070105,2nd Congressional District,OK,6,MAP
OOLOGAH PWA WWT,40000767001,,,,,,,,,,,,,,,,,,,,.1,.3,.3,883,,,,883,0,883,"1,120",,,,"1,120",0,1120,OK0034223,Individual Permit,OOLAGAH PUBLIC WORKS AUTHORITY,Rogers,Lower Verdigris,11070105,2nd Congressional District,OK,6,MAP
TALALA WWT,40000768001,,,,,,,,,,,,,,,,,,,,.02,.03,.03,270,,,,270,0,270,340,,,,340,0,340,,,"TALALA, TOWN OF",Rogers,Lower Verdigris,11070105,2nd Congressional District,OK,6,MAP
ROGERS CO. #1 WWT,40000769001,,,,,,,,,,,,,,,,,,,,.2,.2,.2,"1,350",,,,"1,350",0,1350,"1,350",,,,"1,350",0,1350,OK0038032,Individual Permit,ROGERS COUNTY RSD #1,Rogers,Lower Verdigris,11070105,2nd Congressional District,OK,6,MAP
BOWLEGS WWT,40000771001,,,,,,,,,,,,,,,,,,,,.04,.05,.05,371,,,,371,0,371,390,,,,390,0,390,,,"BOWLEGS, TOWN OF",Seminole,Little,11090203,5th Congressional District,OK,6,MAP
SEMINOLE #3 (CROMWELL) WWT,40000772001,"$1,918,960",,,,,,,,,,,,,,,,"$1,918,960",,,.025,.025,.027,265,,,,265,0,265,280,,,,280,0,280,OK0026972,Individual Permit,SEMINOLE CO. RW&SWD NO. 3,Seminole,Lower North Canadian,11100302,5th Congressional District,OK,6,MAP
KONAWA WWT,40000773001,,,"$3,315,799",,"$2,419,494",,,,,,,,,,,,"$5,735,293",,,.189,.17,.2,"1,298",,,,"1,298",0,1298,"1,540",,,,"1,540",0,1540,OK0021873,Individual Permit,"KONAWA, CITY OF",Seminole,Lower Canadian-Walnut,11090202,5th Congressional District,OK,6,MAP
SASAKWA MA WWT,40000774001,"$508,124",,,,"$171,503",,,,,,,,,,,,"$679,627",,,.015,.02,.02,150,,,,150,0,150,210,,,,210,0,210,,,SASAKWA MUNICIPAL AUTHORITY,Seminole,Little,11090203,5th Congressional District,OK,6,MAP
SEMINOLE WWT,40000775001,,,,,,,,,,,,,,,,,,,,.7,.74,.74,"6,899",,,,"6,899",0,6899,"7,210",,,,"7,210",0,7210,OK0022870,Individual Permit,"SEMINOLE, CITY OF",Seminole,Lower North Canadian,11100302,5th Congressional District,OK,6,MAP
WEWOKA WWT,40000776001,"$3,888,387",,,,"$948,900",,,,,,,,,,,,"$4,837,287",,,.36,.5,.58,"3,562",,,,"3,562",0,3562,"3,720",,,,"3,720",0,3720,OK0022659,Individual Permit,"WEWOKA, CITY OF",Seminole,Lower North Canadian,11100302,5th Congressional District,OK,6,MAP
STEPHENS CO. #4 (LOCO) WWT,40000783001,,,,,,,,,,,,,,,,,,,,.01,.01,.01,150,,,,150,0,150,150,,,,150,0,150,,,STEPHENS CO. RWD #4 (LOCO),Stephens,Farmers-Mud,11130201,4th Congressional District,OK,6,MAP
MARLOW EAST WWT,40000784001,,,,,,,,,,,,,,,,,,,,.19,.2,.2,"1,837",,,,"1,837",0,1837,"1,858",,,,"1,858",0,1858,,,"MARLOW, CITY OF",Stephens,Middle Washita,11130303,4th Congressional District,OK,6,MAP
MARLOW SOUTHWEST WWT,40000784002,,,,,,,,,,,,,,,,,,,,.14,.15,.15,"1,378",,,,"1,378",0,1378,"1,396",,,,"1,396",0,1396,,,"MARLOW, CITY OF",Stephens,Northern Beaver,11130208,4th Congressional District,OK,6,MAP
MARLOW NORTHWEST WWT,40000784003,,,,,,,,,,,,,,,,,,,,.14,.15,.15,"1,378",,,,"1,378",0,1378,"1,400",,,,"1,400",0,1400,,,"MARLOW, CITY OF",Stephens,Northern Beaver,11130208,4th Congressional District,OK,6,MAP
STEPHENS CO #1 (VELMA) WWT,40000785001,,,,,,,,,,,,,,,,,,,,.05,.06,.06,664,,,,664,0,664,670,,,,670,0,670,,,STEPHENS CO RWSD 1 (VELMA),Stephens,Middle Washita,11130303,4th Congressional District,OK,6,MAP
STEPHENS #3 (Meridian) WWT,40000786001,,,,,,,,,,,,,,,,,,,,.007,.008,.008,60,,,,60,0,60,60,,,,60,0,60,,,STEPHENS CO. RWSD #3 (Meridian),Stephens,Northern Beaver,11130208,4th Congressional District,OK,6,MAP
TEXAS CO. #1(ADAMS) WWT,40000787001,,,,,,,,,,,,,,,,,,,,.02,.02,.02,196,,,,196,0,196,196,,,,196,0,196,,,TEXAS COUNTY RWD NO 1,Texas,Middle Beaver,11100102,3rd Congressional District,OK,6,MAP
GOODWELL WWT,40000788001,"$676,163",,,,,,,,,,,,,,,,"$676,163",,,.13,.14,.14,"1,192",,,,"1,192",0,1192,"1,940",,,,"1,940",0,1940,,,OKLA PANHANDLE COLLEGE,Texas,Palo Duro,11100104,3rd Congressional District,OK,6,MAP
GUYMON UA NORTH WWT,40000789001,,,,,,,,,,,,,,,,,,,,1.3,1.3,1.3,"9,425",,,,"9,425",0,9425,"15,200",,,,"15,200",0,15200,,,GUYMON UTILITY AUTHORITY,Texas,Upper Beaver,11100101,3rd Congressional District,OK,6,MAP
GUYMON UA NORTHEAST WWT,40000789002,,,,,,,,,,,,,,,,,,,,3.4,5.5,5.5,"10,479",,,,"10,479",0,10479,"18,750",,,,"18,750",0,18750,OK0045713,Individual Permit,GUYMON UTILITY AUTHORITY,Texas,Upper Beaver,11100101,3rd Congressional District,OK,6,MAP
HARDESTY WWT,40000790001,,,,,,,,,,,,,,,,,,,,.03,.05,.05,212,,,,212,0,212,500,,,,500,0,500,,,"HARDESTY, TOWN OF",Texas,Middle Beaver,11100102,3rd Congressional District,OK,6,MAP
HOOKER WWT,40000791001,,,,,,,,,,,,,,,,,,,,.14,.18,.18,"1,788",,,,"1,788",0,1788,"3,200",,,,"3,200",0,3200,,,"HOOKER, CITY OF",Texas,Middle Beaver,11100102,3rd Congressional District,OK,6,MAP
TEXHOMA WWT,40000794001,,,,,,,,,,,,,,,,,,,,.09,.1,.1,935,,,,935,0,935,"1,670",,,,"1,670",0,1670,,,"TEXHOMA, TOWN OF",Texas,Upper Beaver,11100101,3rd Congressional District,OK,6,MAP
TYRONE WWT,40000795001,,,,,,,,,,,,,,,,,,,,.09,.09,.09,880,,,,880,0,880,"1,580",,,,"1,580",0,1580,,,"TYRONE, TOWN OF",Texas,Middle Beaver,11100102,3rd Congressional District,OK,6,MAP
DAVIDSON WWT,40000796001,,,,,,,,,,,,,,,,,,,,.04,.04,.04,375,,,,375,0,375,380,,,,380,0,380,,,"DAVIDSON, TOWN OF",Tillman,Blue-China,11130102,4th Congressional District,OK,6,MAP
FREDERICK WWT,40000797001,"$228,789",,,,,,,,,,,,,,,,"$228,789",,,.44,.55,.55,"4,173",,,,"4,173",0,4173,"4,221",,,,"4,221",0,4221,OK0027171,Individual Permit,"FREDERICK, CITY OF",Tillman,Blue-China,11130102,4th Congressional District,OK,6,MAP
FREDERICK IND. PARK WWT,40000797002,"$2,796,550",,,,,,,,,,,,,,,,"$2,796,550",,,.12,.15,.15,835,,,,835,0,835,832,,,,832,0,832,OK0027189,Individual Permit,"FREDERICK, CITY OF",Tillman,Blue-China,11130102,4th Congressional District,OK,6,MAP
GRANDFIELD WWT,40000798001,,,,,,,,,,,,,,,,,,,,.11,.18,.18,"1,110",,,,"1,110",0,1110,"1,140",,,,"1,140",0,1140,,,"GRANDFIELD, CITY OF",Tillman,Blue-China,11130102,4th Congressional District,OK,6,MAP
HOLLISTER WWT,40000799001,,,,,,,,,,,,,,,,,,,,.009,.009,.009,60,,,,60,0,60,60,,,,60,0,60,,,"HOLLISTER, TOWN OF",Tillman,West Cache,11130203,4th Congressional District,OK,6,MAP
MANITOU WWT,40000801001,,,,,,,,,,,,,,,,,,,,.03,.035,.035,278,,,,278,0,278,280,,,,280,0,280,,,"MANITOU, TOWN OF",Tillman,West Cache,11130203,4th Congressional District,OK,6,MAP
TIPTON WWT,40000802001,,,,,,,,,,,,,,,,,,,,.09,.1,.1,916,,,,916,0,916,940,,,,940,0,940,,,"TIPTON, CITY OF",Tillman,Lower North Fork Red,11120303,4th Congressional District,OK,6,MAP
COWETA WWT,40000804001,"$712,086",,,,"$3,881,711",,,,,,,,,,,,"$4,593,797",,,.8,.9,.9,"7,139",,,,"7,139",0,7139,"9,030",,,,"9,030",0,9030,OK0020281,Individual Permit,COWETA PUBLIC WORKS AUTHORITY,Wagoner,Polecat-Snake,11110101,1st Congressional District,OK,6,MAP
WAGONER CO. #4 WWT,40000805001,,,,,"$6,598,802",,,,,,,,,,,,"$6,598,802",,,.5,.5,.5,"5,000",,,,"5,000",0,5000,"5,000",,,,"5,000",0,5000,OK0043257,Individual Permit,WAGONER CO. RWSG&SWM DISTRICT #4,Wagoner,Lower Verdigris,11070105,1st Congressional District,OK,6,MAP
OKAY WWT,40000806001,,,,,,,,,,,,,,,,,,,,.06,.05,.05,597,,,,597,0,597,750,,,,750,0,750,OKG580020,General Permit Covered Facility,OKAY PUBLIC WORKS AUTHORITY,Wagoner,Lower Verdigris,11070105,1st Congressional District,OK,6,MAP
PORTER PWA WWT,40000807001,,,,,,,,,,,,,,,,,,,,.07,.08,.08,566,,,,566,0,566,730,,,,730,0,730,OK0027570,Individual Permit,PORTER PUBLIC WORKS AUTHORITY,Wagoner,Lower Verdigris,11070105,1st Congressional District,OK,6,MAP
WAGONER PWA WWT,40000810001,,,,,"$5,104,983",,,,,,,,,,,,"$5,104,983",,,.6,.94,.94,"7,669",,,,"7,669",0,7669,"9,700",,,,"9,700",0,9700,OK0026832,Individual Permit,WAGONER PWA,Wagoner,Lower Verdigris,11070105,1st Congressional District,OK,6,MAP
COPAN WWT,40000811001,,,,,,,,,,,,,,,,,,,,.06,.105,.105,796,,,,796,0,796,830,,,,830,0,830,OK0020168,Individual Permit,COPAN PUBLIC WORKS AUTHORITY,Washington,Caney,11070106,1st Congressional District,OK,6,MAP
RAMONA WWT,40000814001,"$1,068,765",,,,,,,,,,,,,,,,"$1,068,765",,,.05,.06,.06,564,,,,564,0,564,580,,,,580,0,580,OK0028339,Individual Permit,RAMONA PUBLIC WORKS AUTHORITY,Washington,Caney,11070106,1st Congressional District,OK,6,MAP
VERA WWT,40000816001,,,,,,,,,,,,,,,,,,,,.02,.02,.02,190,,,,190,0,190,200,,,,200,0,200,,,"VERA, TOWN OF",Washington,Caney,11070106,1st Congressional District,OK,6,MAP
BESSIE WWT,40000817001,,,,,,,,,,,,,,,,,,,,.02,.02,.02,190,,,,190,0,190,200,,,,200,0,200,,,"BESSIE, CITY OF",Washita,Upper Washita,11130302,3rd Congressional District,OK,6,MAP
CANUTE WWT,40000818001,,,,,,,,,,,,,,,,,,,,.04,.04,.04,524,,,,524,0,524,560,,,,560,0,560,,,"CANUTE, TOWN OF",Washita,Upper Washita,11130302,3rd Congressional District,OK,6,MAP
CORN WWT,40000820001,,,,,,,,,,,,,,,,,,,,.03,.06,.06,591,,,,591,0,591,640,,,,640,0,640,,,"CORN, CITY OF",Washita,Upper Washita,11130302,3rd Congressional District,OK,6,MAP
DILL CITY WWT,40000821001,,,,,,,,,,,,,,,,,,,,.05,.05,.05,526,,,,526,0,526,570,,,,570,0,570,,,"DILL CITY, CITY OF",Washita,Lower North Fork Red,11120303,3rd Congressional District,OK,6,MAP
ROCKY WWT,40000823001,,,,,,,,,,,,,,,,,,,,.02,.02,.02,174,,,,174,0,174,190,,,,190,0,190,,,"ROCKY, TOWN OF",Washita,Lower North Fork Red,11120303,3rd Congressional District,OK,6,MAP
SENTINEL WWT,40000824001,,,,,,,,,,,,,,,,,,,,.08,.08,.08,901,,,,901,0,901,930,,,,930,0,930,,,"SENTINEL, TOWN OF",Washita,Lower North Fork Red,11120303,3rd Congressional District,OK,6,MAP
ALVA WWT,40000825001,,,,,,,,,,,,,,,,,,,,.71,.77,.77,"5,288",,,,"5,288",0,5288,"5,350",,,,"5,350",0,5350,,,"ALVA, CITY OF",Woods,Upper Salt Fork Arkansas,11060002,3rd Congressional District,OK,6,MAP
DACOMA WWT,40000828001,,,,,"$138,926",,,,,,,,,,,,"$138,926",,,.02,.02,.02,148,,,,148,0,148,150,,,,150,0,150,,,"DACOMA, TOWN OF",Woods,Lower Cimarron-Eagle Chief,11050001,3rd Congressional District,OK,6,MAP
FREEDOM WWT,40000829001,,,,,,,,,,,,,,,,,,,,.03,.03,.03,271,,,,271,0,271,270,,,,270,0,270,,,"FREEDOM, TOWN OF",Woods,Lower Cimarron-Eagle Chief,11050001,3rd Congressional District,OK,6,MAP
WAYNOKA WWT,40000831001,,,,,,,,,,,,,,,,,,,,.1,.12,.12,993,,,,993,0,993,"1,010",,,,"1,010",0,1010,,,"WAYNOKA, TOWN OF",Woods,Lower Cimarron-Eagle Chief,11050001,3rd Congressional District,OK,6,MAP
FORT SUPPLY WWT,40000832001,,,,,,,,,,,,,,,,,,,,.03,.03,.03,328,,,,328,0,328,360,,,,360,0,360,,,"FORT SUPPLY, TOWN OF",Woodward,Lower Beaver,11100201,3rd Congressional District,OK,6,MAP
MOORELAND WWT,40000833001,,,,,,,,,,,,,,,,,,,,.1,.15,.15,"1,226",,,,"1,226",0,1226,"1,350",,,,"1,350",0,1350,,,"MOORELAND, TOWN OF",Woodward,Middle North Canadian,11100301,3rd Congressional District,OK,6,MAP
SHARON WWT,40000836001,,,,,,,,,,,,,,,,,,,,.01,.01,.01,122,,,,122,0,122,130,,,,130,0,130,,,"SHARON, TOWN OF",Woodward,Middle North Canadian,11100301,3rd Congressional District,OK,6,MAP
Temple-Belton WWTP,48000001001,"$35,261,372",,"$13,772,388",,,,,,,,,,,,,,"$49,033,760",,,6.02,10,12.75,,"52,789",,,"52,789",0,52789,,"76,536",,,"76,536",0,76536,TX0058378,Individual Permit,BRAZOS RIVER AUTHORITY,Bell,Little,12070204,31st Congressional District,TX,6,MAP
Waco Regional WWTP,48000001003,"$6,796,680",,,,"$10,383,816",,,,,,,,,,,,"$17,180,496",,,28.23,45,45,"11,000","155,367",,,"166,367",0,166367,"35,000","209,372",,,"244,372",0,244372,TX0026506,Individual Permit,"CITIES OF WACO,WOODWAY,BELLMEA",McLennan,Middle Brazos-Lake Whitney,12060202,17th Congressional District,TX,6,MAP
Central WWTP - TRA,48000004001,"$185,970,958",,"$8,940,727",,"$76,911,260",,"$131,991,820",,,,,,,,,,"$403,814,765",,,152,175.2,175.2,20,"1,184,201",,,"1,184,221",0,1184221,40,"1,562,670",,,"1,562,710",0,1562710,TX0022802,Individual Permit,TRINITY RA,Dallas,Upper Trinity,12030105,33rd Congressional District,TX,6,MAP
Ten Mile Creek WWTP,48000004002,"$22,500,701",,,,"$16,071,929",,"$16,071,929",,,,,,,,,,"$54,644,559",,,16.18,24,24,"10,000","153,500",,,"163,500",0,163500,"26,000","217,500",,,"243,500",0,243500,TX0022811,Individual Permit,TRINITY RA,Dallas,Upper Trinity,12030105,30th Congressional District,TX,6,MAP
Onalaska WWTP,48000004003,,,,,,,,,,,,,,,,,,,,.11,.15,.15,,"1,200",,,"1,200",0,1200,,"3,000",,,"3,000",0,3000,TX0078841,Individual Permit,TRINITY RA,Polk,Lower Trinity-Kickapoo,12030202,36th Congressional District,TX,6,MAP
Red Oak Regional WWTP,48000004006,,,,,,,,,,,,,,,,,,,,3.063,3.5,3.5,,"21,700",,,"21,700",0,21700,,"33,400",,,"33,400",0,33400,TX0104345,Individual Permit,TRINITY RA,Ellis,Upper Trinity,12030105,6th Congressional District,TX,6,MAP
Denton Creek WWTP,48000004007,"$7,988,421",,"$698,326",,"$59,699,133",,,,,,,,,,,,"$68,385,880",,,6.4,11.5,11.5,"22,000","20,400",,,"42,400",0,42400,"40,000","55,600",,,"95,600",0,95600,TX0104957,Individual Permit,TRINITY RA,Denton,Denton,12030104,26th Congressional District,TX,6,MAP
Mountain Creek Regional WWTP,48000004008,,,,,,,,,,,,,,,,,,,,1.5,3,3,900,"20,550",,,"21,450",0,21450,"1,400","53,100",,,"54,500",0,54500,TX0025011,Individual Permit,Trinity River Authority,Ellis,Lower West Fork Trinity,12030102,6th Congressional District,TX,6,MAP
Victoria Regional WWTP,48000005001,,,,,"$7,231,925",,"$1,887,967",,,,,,,,,,"$9,119,892",,,6.9,9.6,9.6,"50,000",,,,"50,000",0,50000,"45,000",,,,"45,000",0,45000,TX0025186,Individual Permit,Victoria,Victoria,Lower Guadalupe,12100204,27th Congressional District,TX,6,MAP
Willow Street WWTP,48000005002,,,,,"$4,345,142",,"$745,747",,,,,,,,,,"$5,090,889",,,1.34,2.5,2.5,"10,000","28,000",,,"38,000",0,38000,"10,000",,,,"10,000",0,10000,TX0025194,Individual Permit,Victoria,Victoria,Lower Guadalupe,12100204,27th Congressional District,TX,6,MAP
Kirby Creek WWTP,48000017006,"$282,169",,,,,,,,,,,,,,,,"$282,169",,,.044,.1,.1,,670,,,670,0,670,,800,,,800,0,800,TX0074888,Individual Permit,LOWER COLORADO RA,Lampasas,Buchanan-Lyndon B. Johnson Lakes,12090201,25th Congressional District,TX,6,MAP
Hutto South WWTP,48000017008,"$12,960,892",,"$5,021,992",,,,,,,,,,,,,,"$17,982,884",,,1.05,2,2,"9,000","10,000",,,"19,000",0,19000,"35,000","15,000",,,"50,000",0,50000,TX0025577,Individual Permit,City of Hutto,Williamson,San Gabriel,12070205,31st Congressional District,TX,6,MAP
